TYPE,SITE_ID,SITE_PID,SITE_TYPE,NAME_ENG,NAME,DESIG,DESIG_ENG,DESIG_TYPE,IUCN_CAT,INT_CRIT,REALM,REP_M_AREA,GIS_M_AREA,REP_AREA,GIS_AREA,NO_TAKE,NO_TK_AREA,STATUS,STATUS_YR,GOV_TYPE,GOVSUBTYPE,OWN_TYPE,OWNSUBTYPE,MANG_AUTH,MANG_PLAN,VERIF,METADATAID,PRNT_ISO3,ISO3,SUPP_INFO,CONS_OBJ,INLND_WTRS,OECM_ASMT
Polygon,347,347,PA,Iona National Park,Parque Nacional do Iona,National Park,National Park,National,II,Not Applicable,Terrestrial,25.28,14.2664841285627,15150,15174.4405573639,Not Applicable,0,Designated,1964,Not Reported,Not Applicable,Not Reported,Not Applicable,Not Reported,Not Reported,State Verified,1822,AGO,AGO,Not Applicable,Not Applicable,Not Reported,Not Applicable
Polygon,348,348,PA,Quiçãma National Park,Parque Nacional da Quiçama,National Park,National Park,National,II,Not Applicable,Terrestrial,28.44,1.64406174323456,9960,9229.34584399058,Not Applicable,0,Designated,1957,Not Reported,Not Applicable,Not Reported,Not Applicable,Not Reported,Not Reported,State Verified,1822,AGO,AGO,Not Applicable,Not Applicable,Not Reported,Not Applicable
Polygon,349,349,PA,Cameia National Park,Parque Nacional da Cameia,National Park,National Park,National,II,Not Applicable,Terrestrial,0,0,14450,14510.1191857463,Not Applicable,0,Designated,1938,Not Reported,Not Applicable,Not Reported,Not Applicable,Not Reported,Not Reported,State Verified,1822,AGO,AGO,Not Applicable,Not Applicable,Not Reported,Not Applicable
Polygon,350,350,PA,Bicuar National Park,Parque Nacional do Bicuar,National Park,National Park,National,II,Not Applicable,Terrestrial,0,0,7900,6751.98640050913,Not Applicable,0,Designated,1964,Not Reported,Not Applicable,Not Reported,Not Applicable,Not Reported,Not Reported,State Verified,1822,AGO,AGO,Not Applicable,Not Applicable,Not Reported,Not Applicable
Polygon,351,351,PA,Cangandala National Park,Parque Nacional da Cangandala,National Park,National Park,National,II,Not Applicable,Terrestrial,0,0,630,637.915439787998,Not Applicable,0,Designated,1970,Not Reported,Not Applicable,Not Reported,Not Applicable,Not Reported,Not Reported,State Verified,1822,AGO,AGO,Not Applicable,Not Applicable,Not Reported,Not Applicable
Polygon,2249,2249,PA,Mupa National Park,Parque Nacional da Mupa,National Park,National Park,National,II,Not Applicable,Terrestrial,0,0,6600,6043.45119835766,Not Applicable,0,Designated,1964,Not Reported,Not Applicable,Not Reported,Not Applicable,Not Reported,Not Reported,State Verified,1822,AGO,AGO,Not Applicable,Not Applicable,Not Reported,Not Applicable
Polygon,2251,2251,PA,Namibe Partial Reserve,Reserva Parcial do Namibe,Partial Reserve,Partial Reserve,National,IV,Not Applicable,Terrestrial,1.34,0.310254458031405,4450,4594.04413274343,Not Applicable,0,Designated,1960,Not Reported,Not Applicable,Not Reported,Not Applicable,Not Reported,Not Reported,State Verified,1822,AGO,AGO,Not Applicable,Not Applicable,Not Reported,Not Applicable
Polygon,3066,3066,PA,Luando Integral Nature Reserve,Reserva Natural Integral do Luando,Integral Nature Reserve,Integral Nature Reserve,National,IV,Not Applicable,Terrestrial,0,0,8280,9949.08684687372,Not Applicable,0,Designated,1957,Not Reported,Not Applicable,Not Reported,Not Applicable,Not Reported,Not Reported,State Verified,1822,AGO,AGO,Not Applicable,Not Applicable,Not Reported,Not Applicable
Polygon,4490,4490,PA,Chimalavera Regional Nature Park,Parque Natural Regional de Chimalavera,Regional Nature Park,Regional Nature Park,National,V,Not Applicable,Terrestrial,0,0,100,101.70114417527,Not Applicable,0,Designated,1974,Not Reported,Not Applicable,Not Reported,Not Applicable,Not Reported,Not Reported,State Verified,1822,AGO,AGO,Not Applicable,Not Applicable,Not Reported,Not Applicable
Polygon,4491,4491,PA,Passaros Integral Nature Reserve,Reserva Natural Integral de Passaros,Integral Nature Reserve,Integral Nature Reserve,National,Ia,Not Applicable,Coastal,0,0.046200612945804,0,0.412593129019024,Not Reported,0,Designated,1973,Not Reported,Not Applicable,Not Reported,Not Applicable,Not Reported,Not Reported,State Verified,1822,AGO,AGO,Not Applicable,Not Applicable,Not Reported,Not Applicable
